system,dataset,experiment,condition,metric,value
graphmemshield,enterprise_health_finance,dataset,enterprise_health_finance,records,576
graphmemshield,enterprise_health_finance,dataset,enterprise_health_finance,users,48
graphmemshield,enterprise_health_finance,dataset,enterprise_health_finance,sessions,192
graphmemshield,enterprise_health_finance,dataset,enterprise_health_finance,nodes,162
graphmemshield,enterprise_health_finance,dataset,enterprise_health_finance,edges,2304
graphmemshield,enterprise_health_finance,backend,sqlite_property_graph,nodes,162
graphmemshield,enterprise_health_finance,backend,sqlite_property_graph,edges,2304
graphmemshield,enterprise_health_finance,backend,sqlite_property_graph,sessions,192
graphmemshield,enterprise_health_finance,cross_session_probe,sqlite_property_graph,leaked_edges,9
graphmemshield,enterprise_health_finance,backend,kuzu_property_graph,available,False
graphmemshield,enterprise_health_finance,backend,kuzu_property_graph,status,kuzu package unavailable
graphmemshield,enterprise_health_finance,bounded_sharing,budget_0,leaked_edges,0
graphmemshield,enterprise_health_finance,bounded_sharing,budget_0,leakage_events,0
graphmemshield,enterprise_health_finance,bounded_sharing,budget_0,utility_retention,0.0
graphmemshield,enterprise_health_finance,bounded_sharing,budget_1,leaked_edges,1
graphmemshield,enterprise_health_finance,bounded_sharing,budget_1,leakage_events,1
graphmemshield,enterprise_health_finance,bounded_sharing,budget_1,utility_retention,0.1925
graphmemshield,enterprise_health_finance,bounded_sharing,budget_2,leaked_edges,2
graphmemshield,enterprise_health_finance,bounded_sharing,budget_2,leakage_events,2
graphmemshield,enterprise_health_finance,bounded_sharing,budget_2,utility_retention,0.3819
graphmemshield,enterprise_health_finance,bounded_sharing,budget_5,leaked_edges,3
graphmemshield,enterprise_health_finance,bounded_sharing,budget_5,leakage_events,3
graphmemshield,enterprise_health_finance,bounded_sharing,budget_5,utility_retention,0.6667
graphmemshield,enterprise_health_finance,bounded_sharing,budget_10,leaked_edges,3
graphmemshield,enterprise_health_finance,bounded_sharing,budget_10,leakage_events,3
graphmemshield,enterprise_health_finance,bounded_sharing,budget_10,utility_retention,0.9048
graphmemshield,enterprise_health_finance,multihop_probe,hop_1,baseline_leaked_edges,9
graphmemshield,enterprise_health_finance,multihop_probe,hop_1,baseline_retrieved_edges,1956
graphmemshield,enterprise_health_finance,multihop_probe,hop_1,bounded_b5_leaked_edges,3
graphmemshield,enterprise_health_finance,multihop_probe,hop_1,bounded_b5_retrieved_edges,488
graphmemshield,enterprise_health_finance,multihop_probe,hop_2,baseline_leaked_edges,12
graphmemshield,enterprise_health_finance,multihop_probe,hop_2,baseline_retrieved_edges,2304
graphmemshield,enterprise_health_finance,multihop_probe,hop_2,bounded_b5_leaked_edges,3
graphmemshield,enterprise_health_finance,multihop_probe,hop_2,bounded_b5_retrieved_edges,774
graphmemshield,enterprise_health_finance,multihop_probe,hop_3,baseline_leaked_edges,12
graphmemshield,enterprise_health_finance,multihop_probe,hop_3,baseline_retrieved_edges,2304
graphmemshield,enterprise_health_finance,multihop_probe,hop_3,bounded_b5_leaked_edges,3
graphmemshield,enterprise_health_finance,multihop_probe,hop_3,bounded_b5_retrieved_edges,777
graphmemshield,enterprise_health_finance,hybrid_pipeline,baseline,query_count,6
graphmemshield,enterprise_health_finance,hybrid_pipeline,baseline,retrieval_leaked_edges,12
graphmemshield,enterprise_health_finance,hybrid_pipeline,baseline,response_leaked_edges,6
graphmemshield,enterprise_health_finance,hybrid_pipeline,baseline,response_leaked_terms,8
graphmemshield,enterprise_health_finance,hybrid_pipeline,baseline,pipeline_ms,37.4496
graphmemshield,enterprise_health_finance,hybrid_pipeline,strict_guard,query_count,2
graphmemshield,enterprise_health_finance,hybrid_pipeline,strict_guard,retrieval_leaked_edges,0
graphmemshield,enterprise_health_finance,hybrid_pipeline,strict_guard,response_leaked_edges,0
graphmemshield,enterprise_health_finance,hybrid_pipeline,strict_guard,response_leaked_terms,0
graphmemshield,enterprise_health_finance,hybrid_pipeline,strict_guard,pipeline_ms,2.6485
graphmemshield,enterprise_health_finance,hybrid_pipeline,bounded_b5,query_count,6
graphmemshield,enterprise_health_finance,hybrid_pipeline,bounded_b5,retrieval_leaked_edges,0
graphmemshield,enterprise_health_finance,hybrid_pipeline,bounded_b5,response_leaked_edges,0
graphmemshield,enterprise_health_finance,hybrid_pipeline,bounded_b5,response_leaked_terms,0
graphmemshield,enterprise_health_finance,hybrid_pipeline,bounded_b5,pipeline_ms,11.5624
graphmemshield,enterprise_health_finance,provenance_error_robustness,sensitivity_error_0.00,corrupted_sensitive_edges,0
graphmemshield,enterprise_health_finance,provenance_error_robustness,sensitivity_error_0.00,retrieval_leaked_edges,3
graphmemshield,enterprise_health_finance,provenance_error_robustness,sensitivity_error_0.00,response_leaked_edges,3
graphmemshield,enterprise_health_finance,provenance_error_robustness,sensitivity_error_0.00,response_leaked_terms,2
graphmemshield,enterprise_health_finance,provenance_error_robustness,sensitivity_error_0.10,corrupted_sensitive_edges,1
graphmemshield,enterprise_health_finance,provenance_error_robustness,sensitivity_error_0.10,retrieval_leaked_edges,4
graphmemshield,enterprise_health_finance,provenance_error_robustness,sensitivity_error_0.10,response_leaked_edges,3
graphmemshield,enterprise_health_finance,provenance_error_robustness,sensitivity_error_0.10,response_leaked_terms,4
graphmemshield,enterprise_health_finance,provenance_error_robustness,sensitivity_error_0.25,corrupted_sensitive_edges,3
graphmemshield,enterprise_health_finance,provenance_error_robustness,sensitivity_error_0.25,retrieval_leaked_edges,5
graphmemshield,enterprise_health_finance,provenance_error_robustness,sensitivity_error_0.25,response_leaked_edges,6
graphmemshield,enterprise_health_finance,provenance_error_robustness,sensitivity_error_0.25,response_leaked_terms,6
